no-score,params,iteration,train_time
2245.507345980206,"{'batch_size': 131, 'n_hidden': 171, 'lr': 0.6707512804144551, 'n_epochs': 429, 'n_lags': 29}",82,389.5013694199988
446.3236172965155,"{'batch_size': 73, 'n_hidden': 6, 'lr': 0.33010124648377426, 'n_epochs': 159, 'n_lags': 17}",83,37.13140888400085
37.112383933411714,"{'batch_size': 125, 'n_hidden': 200, 'lr': 0.0034285581260929893, 'n_epochs': 396, 'n_lags': 13}",84,225.61475608600085
1326.8817429552073,"{'batch_size': 134, 'n_hidden': 198, 'lr': 0.06459109862838895, 'n_epochs': 486, 'n_lags': 23}",85,446.9649517070029
229.13208239812732,"{'batch_size': 144, 'n_hidden': 183, 'lr': 0.03655351513557752, 'n_epochs': 397, 'n_lags': 39}",86,514.6097279280002
831.1809694628503,"{'batch_size': 126, 'n_hidden': 123, 'lr': 0.1325840853030436, 'n_epochs': 445, 'n_lags': 18}",87,180.49240042400197
6889.064407146472,"{'batch_size': 44, 'n_hidden': 192, 'lr': 0.7618407909945044, 'n_epochs': 463, 'n_lags': 7}",88,243.41093189299863
305.9088199408529,"{'batch_size': 123, 'n_hidden': 87, 'lr': 0.27594383029530356, 'n_epochs': 436, 'n_lags': 26}",89,153.10105568800282
35.803391046343286,"{'batch_size': 117, 'n_hidden': 131, 'lr': 0.0017147996376506089, 'n_epochs': 419, 'n_lags': 21}",90,214.07805028799703
653.7088312407607,"{'batch_size': 97, 'n_hidden': 106, 'lr': 0.15971495120096066, 'n_epochs': 16, 'n_lags': 32}",91,20.718647196001257
267.2519060675466,"{'batch_size': 103, 'n_hidden': 98, 'lr': 0.027893390473566294, 'n_epochs': 478, 'n_lags': 21}",92,161.9768694389968
490.6227718549185,"{'batch_size': 108, 'n_hidden': 111, 'lr': 0.42756011692403306, 'n_epochs': 489, 'n_lags': 28}",93,240.1868550930012
4353.457714479858,"{'batch_size': 147, 'n_hidden': 133, 'lr': 0.8639545381331074, 'n_epochs': 419, 'n_lags': 24}",94,236.3302059689995
68.59757268709993,"{'batch_size': 114, 'n_hidden': 73, 'lr': 0.09705912037797179, 'n_epochs': 339, 'n_lags': 19}",95,84.49869559999934
267.35205708250163,"{'batch_size': 88, 'n_hidden': 44, 'lr': 0.3553696802145746, 'n_epochs': 123, 'n_lags': 42}",96,59.12627395299933
849.9985686665094,"{'batch_size': 68, 'n_hidden': 117, 'lr': 0.47496604786552926, 'n_epochs': 384, 'n_lags': 30}",97,238.54142783100178
295.4001094966492,"{'batch_size': 19, 'n_hidden': 101, 'lr': 0.19043499725631635, 'n_epochs': 455, 'n_lags': 25}",98,491.39690919200075
749.1969568379784,"{'batch_size': 117, 'n_hidden': 94, 'lr': 0.24705883829109615, 'n_epochs': 496, 'n_lags': 21}",99,160.84206334099872
686.2250264757267,"{'batch_size': 40, 'n_hidden': 129, 'lr': 0.28653565977535456, 'n_epochs': 437, 'n_lags': 33}",100,403.1298420489984
