merval,spread,valor transado,LIX
442.28746,1.188623967,534222.7087,6.158824755
440.7857,1.187709299,497285.2049,5.899420542
436.49572,1.190805815,603994.5533,6.147055792
444.82954,1.190901832,374753.4303,5.872540172
451.83756,1.187586823,390458.7345,6.079412155
456.17816,1.181599624,914215.5131,6.485123728
465.53318,1.173834838,339610.4195,6.107053332
475.04338,1.172290632,1266759.367,6.416708305
471.43145,1.176356432,1241892.81,6.432717923
472.71738,1.17636446,758363.5636,6.127361908
475.34589,1.177736352,809776.0778,6.381877987
474.69027,1.181303178,1126541.186,6.488195489
498.19289,1.173614455,1825930.741,6.543398902
498.10586,1.168266517,1770631.342,6.502804404
498.10586,1.167906087,1770477.193,6.502567653
506.54699,1.170911885,877177.6866,6.423066746
493.13501,1.16934962,1115835.507,6.377487047
484.44667,1.169116971,3647951.764,6.766320436
474.81196,1.170867045,1800264.885,6.606011571
477.55216,1.170394598,953540.5516,6.295987643
474.46251,1.172626897,1161702.033,6.594279921
474.46251,1.172626897,1161702.033,6.594279921
474.46251,1.172626897,1161702.033,6.594279921
476.5095,1.171587979,947464.4476,6.374512772
477.84772,1.166908707,849358.0292,6.551210766
474.83137,1.165663772,971121.329,6.529142707
468.17393,1.166713544,762652.6269,6.430091885
466.87443,1.167016396,1105271.14,6.520865598
466.87443,1.165166361,1103719.41,6.519375788
443.27919,1.171140824,1662308.71,6.455720648
442.3018,1.17553279,1161158.373,6.347464923
440.99279,1.177566181,790658.3638,6.451236137
440.15324,1.176210625,872146.5488,6.413005532
444.78148,1.18091842,1089165.368,6.373148719
421.30823,1.185120522,1122265.548,6.389461205
432.80758,1.179356109,906539.6198,6.236507779
443.2456,1.173295981,1071280.06,6.194766896
450.34217,1.173921089,737758.7371,6.26402196
451.17763,1.178355715,2664617.861,6.625961061
461.97709,1.179965909,5685815.94,6.795198329
461.21212,1.984569621,1561290.129,6.566659996
464.78424,1.669037649,813419.1871,6.177644097
469.48652,1.654114431,1062579.626,6.261228207
482.48671,2.541496051,1132215.493,6.548043792
485.33257,2.743804557,1293794.227,6.465310167
482.47103,1.631322252,2827766.351,6.831833026
477.23864,2.022756066,1177126.592,6.455380324
473.3981,1.573433707,1136598.87,6.409071434
482.3489,1.731790327,656705.8503,6.225402561
484.22393,2.166119039,584101.8302,6.148841041
474.84935,1.67689551,1047320.789,6.278464035
468.00352,1.386404312,373411.3588,6.128930652
469.32049,1.853905385,740020.84,6.4775854
462.09166,1.570391092,1552018.436,6.755848673
462.09166,1.570482833,1550512.262,6.755148774
462.09166,1.570482833,1550512.262,6.755148774
462.09166,1.570749313,1546138.265,6.753116239
462.09166,1.571146865,1539615.598,6.750085246
451.60479,1.237832854,1019863.512,6.099463223
452.22668,1.504465311,740695.8069,6.173844687
